Date,Close,Volume
16/04/2018,1.6,801622
17/04/2018,1.6,313322
18/04/2018,1.555,700766
19/04/2018,1.55,307131
20/04/2018,1.5,464999
23/04/2018,1.495,251119
24/04/2018,1.49,350859
26/04/2018,1.475,459306
27/04/2018,1.48,977446
30/04/2018,1.465,880766
1/05/2018,1.485,558899
2/05/2018,1.505,850598
3/05/2018,1.49,325021
4/05/2018,1.49,957126
7/05/2018,1.48,690534
8/05/2018,1.47,392302
9/05/2018,1.475,771823
10/05/2018,1.475,600318
11/05/2018,1.46,564453
14/05/2018,1.46,546910
15/05/2018,1.42,992685
16/05/2018,1.415,360931
17/05/2018,1.4,565047
18/05/2018,1.47,597667
21/05/2018,1.48,572265
22/05/2018,1.55,2038566
23/05/2018,1.58,1052680
24/05/2018,1.505,931970
25/05/2018,1.53,785900
28/05/2018,1.465,566641
29/05/2018,1.505,789119
30/05/2018,1.47,710220
31/05/2018,1.53,1948548
1/06/2018,1.465,559424
4/06/2018,1.49,505551
5/06/2018,1.505,669311
6/06/2018,1.47,627231
7/06/2018,1.51,401253
8/06/2018,1.58,2007822
12/06/2018,1.54,1106354
13/06/2018,1.51,2108874
14/06/2018,1.49,371741
15/06/2018,1.52,604424
18/06/2018,1.515,281342
19/06/2018,1.47,1065848
20/06/2018,1.475,416605
21/06/2018,1.565,2449627
22/06/2018,1.55,1556495
25/06/2018,1.545,958872
26/06/2018,1.51,672418
27/06/2018,1.47,465038
28/06/2018,1.47,260529
29/06/2018,1.48,538173
2/07/2018,1.54,639805
3/07/2018,1.55,710331
4/07/2018,1.525,410499
5/07/2018,1.51,155880
6/07/2018,1.555,713756
9/07/2018,1.59,1239030
10/07/2018,1.56,320349
11/07/2018,1.545,439298
12/07/2018,1.56,309738
13/07/2018,1.575,612616
16/07/2018,1.6,1603387
17/07/2018,1.6,1370867
18/07/2018,1.76,5430600
19/07/2018,1.755,1665212
20/07/2018,1.785,1338901
23/07/2018,1.835,3525262
24/07/2018,1.82,2094792
25/07/2018,1.815,1301908
26/07/2018,1.71,1443528
27/07/2018,1.83,1565500
30/07/2018,1.84,909871
31/07/2018,1.885,1672423
1/08/2018,1.855,1209055
2/08/2018,1.795,1103264
3/08/2018,1.8,990976
6/08/2018,1.74,780437
7/08/2018,1.715,576316
8/08/2018,1.7,428733
9/08/2018,1.715,1400154
10/08/2018,1.74,395590
13/08/2018,1.685,673159
14/08/2018,1.665,489636
15/08/2018,1.65,565273
16/08/2018,1.605,1008616
17/08/2018,1.545,1077555
20/08/2018,1.575,932668
21/08/2018,1.54,669666
22/08/2018,1.585,1279008
23/08/2018,1.6,859342
24/08/2018,1.57,592678
27/08/2018,1.59,548846
28/08/2018,1.56,949366
29/08/2018,1.555,1450368
30/08/2018,1.63,1447619
31/08/2018,1.64,1143166
3/09/2018,1.715,1872686
4/09/2018,1.7,1126244
5/09/2018,1.65,645348
6/09/2018,1.645,497531
7/09/2018,1.63,788443
10/09/2018,1.625,595609
11/09/2018,1.625,346118
12/09/2018,1.645,1014111
13/09/2018,1.635,172941
14/09/2018,1.68,958588
17/09/2018,1.7,701754
18/09/2018,1.655,721307
19/09/2018,1.69,233720
20/09/2018,1.78,1980200
21/09/2018,1.87,2125599
24/09/2018,1.83,990767
25/09/2018,1.87,1024915
26/09/2018,2.05,2675778
27/09/2018,2.05,2313742
28/09/2018,2.15,1669579
1/10/2018,2.34,2209628
2/10/2018,2,7170976
3/10/2018,2.1,2300555
4/10/2018,2.2,3089229
5/10/2018,2.1,1307090
8/10/2018,2.14,944757
9/10/2018,2.09,2304414
10/10/2018,2.13,804845
11/10/2018,1.985,2401498
12/10/2018,2.08,1611484
15/10/2018,2.06,663879
16/10/2018,2.03,434839
17/10/2018,2.09,764065
18/10/2018,2.02,1042697
19/10/2018,1.985,1083983
22/10/2018,1.89,1483791
23/10/2018,1.845,1375596
24/10/2018,1.885,1203733
25/10/2018,1.79,1191437
26/10/2018,1.8,836401
29/10/2018,1.83,596141
30/10/2018,1.93,916166
31/10/2018,1.99,1577526
1/11/2018,2.05,519530
2/11/2018,2.12,1030340
5/11/2018,2.13,932091
6/11/2018,2.13,762708
7/11/2018,2.21,1310837
8/11/2018,2.07,2922081
9/11/2018,2.18,1862672
12/11/2018,1.57,13719994
13/11/2018,1.465,5308108
14/11/2018,1.415,4314593
15/11/2018,1.42,2746683
16/11/2018,1.38,2178475
19/11/2018,1.305,2580506
